Job Position,Office,City,Country,Salary,Work Time,Job Level,Job Level Specific,Job_Category,Industry,Qualification 1,Qualification 2,Qualification 3,Qualification 4,Qualification 5,
Corporate Secretarial Assistant,JTC Kensington,Singapore,Singapore,"IDR 25,493,666.00 - IDR 32,446,484.00",Full Time,Mid-Senior Level,Manager,Customer Service,Financial Services,Diploma or equivalent; Corporate Secretarial qualification is a plus,1-2 years' corporate secretarial experience in the Corporate Services Industry or relevant; incumbent with more work relevant experiences in corporate secretarial work may be considered for a senior role,Possess excellent communication and interpersonal skills and the ability to work effectively in a team with minimal supervision,Proficient in MS Office Skills and familiar with Corporate Secretarial software such as Viewpoint and BizFile is a plus,,
Corporate Secretarial Executive (Good Working Environment),JTC Kensington,Singapore,Singapore,"IDR 34,764,090.00 - IDR 52,146,135.00",Full Time,Mid-Senior Level,Manager,Management and Consultancy,Financial Services,1-2 years of corporate secretarial experience in the Corporate Services Industry or related field,"Minimum Diploma, or Certification of specific major, or equivalent corporate secretarial qualifications","Meticulous, ability to multi-task, organize, and prioritize work.","Able to work independently and with integrity, with fair and principled temperament with a facilitative and commercial approach to matters.",Demonstrate strong interpersonal skills when interacting with internal and external clients.,
Corporate Secretary and Compliance Specialist ,PT. Astra Welab Digital Arta,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Information Technology / IT,Law graduate,Minimum 1 – 2 years working experience in related fields such as risk management/internal audit in financial services companies,Have technical skills in commercial or business law,"Able to operate Microsoft Word, Power Point, Excel and Outlook",Willing to work in a peer-to-peer fintech company,
Corporate Strategy Analyst,Astra Financial,Jakarta Pusat,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Management and Consultancy,Financial Services,"Bachelor's degree in management, Business, Finance",Experience in Planning / Strategy and Corporate Finance Area (Senior Level / Asst. Manager Level) with at least 5 years' experience.,"From Big 4 KAP / Registered Public Accountant (EandY, PwC, KPMG, Deloitte) or other strategy consulting firm or from Corporate Planning / Corporate Strategy Department in a company",,,
Corporate Travel Consultant,ATI Business Group,Jakarta Pusat,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,"Hotel, Restaurant and Travel",Outsourcing / Offshoring,Fluent skills in English (both written and spoken),Preferably a degree in Travel Management or any related major,2+ years recent of experience in Corporate Travel required,2+ years recent of knowledge and experience using GDS required,Skilled with complex international fares strongly recommended,
Counter and Tenant Maintenance Officer,Kompas Gramedia,Jakarta Barat,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Media Production,Minimum S1 education in all majors,Have experience in the retail property or merchandising sector,Have good communication and negotiation skills,Proficient in operating Ms. Excel,Have good analytical thinking skills,
Country Director,Kalibrr,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Director,Executive,Management and Consultancy,Computer Software / Engineeringing,"Bachelor's or Master's degree in Business Administration, Management, Marketing, Law, or a related field, with a strong understanding of legal implications in business operations.","Previous leadership or managerial experience, preferably within a dynamic and fast-paced environment, ideally within consulting companies.","Proficiency in B2B marketing, selling, negotiations, and relationship marketing, with an awareness of legal considerations.","Experience in both corporate multinational and startup/SME environments, with an understanding of legal nuances in different business settings.","Self-described as a generalist, ambitious, and driven to become a successful entrepreneur or C-level executive, with an appreciation for the legal dimensions of business growth.",
Creative Intern,GetSolar,Singapore,Singapore,Salary Undisclosed,Full Time,Internship,OJT,Design,Renewables and Environment,Passion for curating and filming video content (hit us up with your best video pieces!),Experience in handling mirrorless/DSLR camera systems,"Strong interest in sustainability, renewable energy, and solar technology.","Highly independent, able to set own agenda and plan content schedule together with marketing team",Genuinely excited by a fast paced start-up environment with a bias to action,
Creative/Videography Intern,FunEmpire,Singapore,Singapore,"IDR 6,952,818.00 - IDR 11,588,030.00",Full Time,Internship,OJT,Media,Events Services,Minimum of 3 months commitment,"Graphic design, video production, related diploma or degree is preferred","Proficient in photography / videography techniques, including lighting, audio/video editing, graphic design",A keen eye for composition and the ability to imagine how photos / videos will be used across different media platforms,"Initiative to learn, propose new ideas, explorative creativity drive, ability to produce creative concepts and ideas would be a huge plus point",
Credit Analyst Productive Loan,PT. Astra Welab Digital Arta,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Information Technology / IT,Bachelor's degree from any major,Have work experience or at least have knowledge in the field of Credit Productive Loans,Have a good business assessment analysis,Able to convey information and presentations well and straightforwardly,Able to analyze financial information,
Credit and Collections Specialist | Mandaluyong,Aces Call Center Jobs Inc.,Mandaluyong,Philippines,"IDR 5,010,359.24 - IDR 7,515,538.86",Full Time,Entry Level,"Junior, Apprentice",Customer Service,Call Center / BPO,Completed at least 2 years in college with no back subjects,At least 2 years work experience in credit and collections (in any industry),Good to excellent communications skills,Willing to work in Mandaluyong on Dayshift schedule,,
Credit Card Account Specialists (CSR) | Eastwood | Quezon City,Aces Call Center Jobs Inc.,Quezon,Philippines,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Customer Service,Call Center / BPO,Completed at least 2 years in College (any course),Filipino,With at least 1-year BPO experience,Good to Excellent English communication skills,Willing to work in Quezon City (Eastwood),
Credit Improvement Administration,PT. Astra Welab Digital Arta,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Administration,Information Technology / IT,Strong analytical and planning skills;,Candidate must possess at least Bachelor's Degree in the related field,"At least 1 Year of working experience in the related field, is a plus",Experience using statistical computer languages (for example SQL) to manipulate data and draw insights from large data sets.,Fast learner,
Credit Improvement Administration,PT. Astra Welab Digital Arta,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Information Technology / IT,Strong analytical and planning skills;,Candidate must possess at least Bachelor's Degree in the related field,"At least 1 Year of working experience in the related field, is a plus",Experience using statistical computer languages (for example SQL) to manipulate data and draw insights from large data sets.,Fast learner,
Credit Manager,Investree,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Sales and Marketing,Lending Marketplace,"Min. Bachelor's degree in related majors (finance, accounting, or other business-related fields)",Min. of 2 years' experience in Banking or other financial industry.,"Min. of 2 years' experience in any Risk Management area, handling credit underwritings and SME portfolio is preferred.","Good analytical skill and familiar with financial and understanding of business, economic, and industry risk.",Strong attention to detail and ability to notice discrepancies in data.,
Credit Marketing Officer,PT. SInar Mitra Sepadan Finance (SMSFinance),Tangerang Selatan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,Cooperate with the showroom regarding credit applications,Collaborate with sales agents regarding credit applications,Carrying out the survey process and conducting consumer feasibility analysis,Achieve sales targets determined by the company every month,,
Credit Marketing Officer,PT. Sinar Mitra Sepadan Finance (SMSFinance),Bogor,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,Cooperate with the showroom regarding credit applications,Collaborate with sales agents regarding credit applications,Carrying out the survey process and conducting consumer feasibility analysis,Achieve sales targets determined by the company every month,,
Credit Marketing Officer (CMO) Corporate Surabaya,PT Padma Raharja Sentosa Jawa Timur,Surabaya,Indonesia,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,Business Development and Sales,Outsourcing/Offshoring,Maximum age 40 years,Minimum D3 education,Experienced as sales/CMO/Dealership/Leasing,Clear BI Checking,,
Credit Marketing Sharia - Surabaya,PT BFI Finance Indonesia Tbk,Surabaya,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,Man / Woman,Max 30 years old,Resilient and has strong motivation to achieve targets,Have a passion for sales.,Energetic and has good communication skills,
Credit Performance Management Specialist,PT BFI Finance Indonesia Tbk,Tangerang,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Accounting and Finance,Financial Services,"Minimum education: S1 majoring in Statistics/Mathematics, or similar major",Have 2 years experience in the same field,"Proficient in operating Microsoft Office (Excel, PPT, Word)",Have the ability to operate SQL,Have good analitic,
